市场代码,合约代码,Date,最新,持仓,增仓,成交额,Volume,开仓,平仓,成交类型,方向,买一价,Close,买一量,卖一量
DC,a2403,2024-01-26 20:59:00.037,4680.0000,184257,-30,41652000.0000,890,430,460,多平,S,4680.0000,4681.0000,190,8
DC,a2403,2024-01-26 21:00:00.480,4682.0000,184196,-61,8291340.0000,177,58,119,空平,B,4681.0000,4683.0000,11,2
DC,a2403,2024-01-26 21:00:00.981,4685.0000,184211,15,9364230.0000,200,107,93,多开,B,4682.0000,4685.0000,7,3
DC,a2403,2024-01-26 21:00:01.483,4684.0000,184156,-55,5480330.0000,117,31,86,空平,B,4683.0000,4685.0000,13,2
DC,a2403,2024-01-26 21:00:01.986,4682.0000,184116,-40,5993770.0000,128,44,84,空平,B,4680.0000,4682.0000,93,1
DC,a2403,2024-01-26 21:00:02.427,4681.0000,184134,18,4586990.0000,98,58,40,空开,S,4681.0000,4682.0000,4,26
DC,a2403,2024-01-26 21:00:02.983,4680.0000,184194,60,4632960.0000,99,79,20,多开,B,4678.0000,4680.0000,15,11
DC,a2403,2024-01-26 21:00:03.472,4679.0000,184209,15,1309970.0000,28,21,7,多开,B,4677.0000,4679.0000,7,16
DC,a2403,2024-01-26 21:00:03.985,4677.0000,184174,-35,4208890.0000,90,27,63,空平,B,4675.0000,4677.0000,16,9
DC,a2403,2024-01-26 21:00:04.449,4677.0000,184166,-8,2852580.0000,61,26,35,空平,B,4674.0000,4677.0000,17,2
DC,a2403,2024-01-26 21:00:04.968,4676.0000,184153,-13,1870350.0000,40,13,27,空平,B,4675.0000,4677.0000,13,11
DC,a2403,2024-01-26 21:00:05.444,4675.0000,184159,6,888310.0000,19,12,7,空开,S,4675.0000,4677.0000,11,19
DC,a2403,2024-01-26 21:00:05.969,4676.0000,184160,1,1542880.0000,33,17,16,多开,B,4675.0000,4676.0000,2,2
DC,a2403,2024-01-26 21:00:06.485,4676.0000,184144,-16,2851950.0000,61,22,39,空平,B,4675.0000,4676.0000,2,9
DC,a2403,2024-01-26 21:00:06.984,4676.0000,184138,-6,1168860.0000,25,9,16,空平,B,4675.0000,4676.0000,6,8
DC,a2403,2024-01-26 21:00:07.456,4677.0000,184143,5,1402880.0000,30,17,13,多开,B,4676.0000,4677.0000,32,6
DC,a2403,2024-01-26 21:00:07.909,4677.0000,184151,8,3040590.0000,65,36,29,空开,S,4677.0000,4679.0000,60,18
DC,a2403,2024-01-26 21:00:08.476,4678.0000,184151,0,1684280.0000,36,18,18,多换,S,4678.0000,4680.0000,27,50
DC,a2403,2024-01-26 21:00:08.951,4680.0000,184184,33,2573800.0000,55,44,11,多开,B,4679.0000,4680.0000,3,11
DC,a2403,2024-01-26 21:00:09.482,4680.0000,184179,-5,1263570.0000,27,11,16,多平,S,4680.0000,4681.0000,5,13
DC,a2403,2024-01-26 21:00:09.984,4680.0000,184185,6,561610.0000,12,9,3,空开,S,4680.0000,4681.0000,43,18
DC,a2403,2024-01-26 21:00:10.462,4679.0000,184133,-52,3509730.0000,75,11,64,空平,B,4678.0000,4679.0000,17,11
DC,a2403,2024-01-26 21:00:10.957,4678.0000,184115,-18,1029180.0000,22,2,20,空平,B,4677.0000,4678.0000,25,6
DC,a2403,2024-01-26 21:00:11.463,4678.0000,184095,-20,1917860.0000,41,10,31,空平,B,4677.0000,4678.0000,14,10
DC,a2403,2024-01-26 21:00:11.957,4679.0000,184093,-2,2386430.0000,51,24,27,多平,S,4679.0000,4680.0000,30,7
DC,a2403,2024-01-26 21:00:12.448,4680.0000,184091,-2,701960.0000,15,6,9,空平,B,4679.0000,4680.0000,1,9
DC,a2403,2024-01-26 21:00:12.981,4680.0000,184072,-19,1497080.0000,32,6,26,空平,B,4678.0000,4680.0000,7,17
DC,a2403,2024-01-26 21:00:13.472,4677.0000,184074,2,748460.0000,16,9,7,空开,S,4677.0000,4678.0000,21,12
DC,a2403,2024-01-26 21:00:13.984,4678.0000,184071,-3,795200.0000,17,7,10,空平,B,4677.0000,4678.0000,19,14
DC,a2403,2024-01-26 21:00:14.468,4678.0000,184077,6,421000.0000,9,7,2,多开,B,4677.0000,4678.0000,31,16
DC,a2403,2024-01-26 21:00:14.919,4678.0000,184072,-5,1450040.0000,31,13,18,空平,B,4677.0000,4678.0000,13,14
DC,a2403,2024-01-26 21:00:15.457,4677.0000,184073,1,701550.0000,15,8,7,多开,B,4676.0000,4677.0000,22,16
DC,a2403,2024-01-26 21:00:15.900,4676.0000,184084,11,982040.0000,21,16,5,空开,S,4676.0000,4677.0000,14,16
DC,a2403,2024-01-26 21:00:16.380,4677.0000,184083,-1,608000.0000,13,6,7,空平,B,4676.0000,4677.0000,19,17
DC,a2403,2024-01-26 21:00:16.976,4676.0000,184082,-1,467620.0000,10,4,6,多平,S,4676.0000,4677.0000,30,22
DC,a2403,2024-01-26 21:00:17.478,4677.0000,184064,-18,2852600.0000,61,21,40,多平,S,4677.0000,4678.0000,3,31
DC,a2403,2024-01-26 21:00:17.974,4677.0000,184064,0,514440.0000,11,5,6,空换,B,4676.0000,4677.0000,27,7
DC,a2403,2024-01-26 21:00:18.470,4677.0000,184064,0,140310.0000,3,1,2,空换,B,4676.0000,4677.0000,35,7
DC,a2403,2024-01-26 21:00:18.920,4677.0000,184062,-2,467640.0000,10,4,6,空平,B,4676.0000,4677.0000,29,4
DC,a2403,2024-01-26 21:00:19.486,4678.0000,184038,-24,3133980.0000,67,21,46,多平,S,4678.0000,4679.0000,41,28
DC,a2403,2024-01-26 21:00:19.904,4678.0000,184037,-1,467830.0000,10,4,6,多平,S,4678.0000,4679.0000,41,24
DC,a2403,2024-01-26 21:00:20.453,4679.0000,184036,-1,280700.0000,6,2,4,空平,B,4678.0000,4679.0000,37,33
DC,a2403,2024-01-26 21:00:20.979,4677.0000,183991,-45,3087570.0000,66,10,56,多平,S,4677.0000,4678.0000,8,4
DC,a2403,2024-01-26 21:00:21.468,4678.0000,183993,2,888780.0000,19,10,9,多开,B,4677.0000,4678.0000,15,4
DC,a2403,2024-01-26 21:00:21.932,4677.0000,183999,6,888810.0000,19,12,7,空开,S,4678.0000,4679.0000,6,18
DC,a2403,2024-01-26 21:00:22.384,4679.0000,184004,5,327480.0000,7,6,1,多开,B,4678.0000,4679.0000,21,15
DC,a2403,2024-01-26 21:00:22.941,4679.0000,184011,7,561480.0000,12,9,3,空开,S,4679.0000,4680.0000,3,31
DC,a2403,2024-01-26 21:00:23.471,4680.0000,184005,-6,421190.0000,9,1,8,空平,B,4679.0000,4680.0000,14,22
DC,a2403,2024-01-26 21:00:23.962,4680.0000,183992,-13,1825260.0000,39,13,26,空平,B,4679.0000,4680.0000,17,24
DC,a2403,2024-01-26 21:00:24.481,4679.0000,183990,-2,327530.0000,7,2,5,空平,B,4678.0000,4679.0000,18,10
DC,a2403,2024-01-26 21:00:24.977,4678.0000,183994,4,514590.0000,11,7,4,空开,S,4678.0000,4679.0000,6,12
DC,a2403,2024-01-26 21:00:25.478,4679.0000,183991,-3,187150.0000,4,0,4,空平,B,4678.0000,4679.0000,25,4
DC,a2403,2024-01-26 21:00:25.852,4678.0000,183992,1,93570.0000,2,1,1,空开,S,4678.0000,4679.0000,24,1
DC,a2403,2024-01-26 21:00:26.346,4679.0000,183992,0,93570.0000,2,1,1,空换,B,4678.0000,4679.0000,23,7
DC,a2403,2024-01-26 21:00:26.876,4678.0000,183992,0,233940.0000,5,2,3,多换,S,4678.0000,4679.0000,19,16
DC,a2403,2024-01-26 21:00:27.445,4679.0000,183990,-2,514680.0000,11,4,7,空平,B,4678.0000,4679.0000,24,10
DC,a2403,2024-01-26 21:00:27.961,4678.0000,183987,-3,233930.0000,5,1,4,多平,S,4678.0000,4679.0000,23,9
DC,a2403,2024-01-26 21:00:28.451,4679.0000,183986,-1,46790.0000,1,0,1,双平,B,4678.0000,4679.0000,31,9
DC,a2403,2024-01-26 21:00:28.953,4679.0000,183991,5,608270.0000,13,9,4,空开,S,4679.0000,4680.0000,2,38
DC,a2403,2024-01-26 21:00:29.438,4680.0000,183993,2,187180.0000,4,3,1,多开,B,4679.0000,4680.0000,22,30
DC,a2403,2024-01-26 21:00:29.874,4680.0000,183997,4,327590.0000,7,5,2,多开,B,4679.0000,4680.0000,34,33
DC,a2403,2024-01-26 21:00:30.436,4680.0000,184023,26,1918770.0000,41,33,8,空开,S,4680.0000,4681.0000,27,10
DC,a2403,2024-01-26 21:00:30.944,4681.0000,184006,-17,2246470.0000,48,15,33,空平,B,4680.0000,4681.0000,1,24
DC,a2403,2024-01-26 21:00:31.474,4679.0000,184025,19,1591090.0000,34,26,8,空开,S,4679.0000,4680.0000,18,25
DC,a2403,2024-01-26 21:00:31.983,4680.0000,184034,9,935940.0000,20,14,6,多开,B,4679.0000,4680.0000,17,16
DC,a2403,2024-01-26 21:00:32.459,4680.0000,184051,17,795590.0000,17,17,0,双开,S,4680.0000,4681.0000,38,11
DC,a2403,2024-01-26 21:00:32.988,4682.0000,184063,12,795810.0000,17,14,3,多开,B,4681.0000,4682.0000,10,19
DC,a2403,2024-01-26 21:00:33.458,4682.0000,184079,16,1123650.0000,24,20,4,空开,S,4682.0000,4683.0000,12,22
DC,a2403,2024-01-26 21:00:33.956,4683.0000,184105,26,2013680.0000,43,34,9,空开,S,4683.0000,4684.0000,2,10
DC,a2403,2024-01-26 21:00:34.380,4683.0000,184109,4,562020.0000,12,8,4,空开,S,4683.0000,4684.0000,32,2
DC,a2403,2024-01-26 21:00:34.962,4684.0000,184109,0,93670.0000,2,1,1,空换,B,4683.0000,4684.0000,56,2
DC,a2403,2024-01-26 21:00:35.477,4683.0000,184107,-2,562000.0000,12,5,7,多平,S,4684.0000,4685.0000,4,23
DC,a2403,2024-01-26 21:00:35.923,4684.0000,184111,4,843180.0000,18,11,7,空开,S,4684.0000,4685.0000,20,17
DC,a2403,2024-01-26 21:00:36.455,4685.0000,184101,-10,1780020.0000,38,14,24,空平,B,4684.0000,4686.0000,10,19
DC,a2403,2024-01-26 21:00:36.982,4685.0000,184091,-10,1311810.0000,28,9,19,多平,S,4685.0000,4686.0000,11,25
DC,a2403,2024-01-26 21:00:37.463,4685.0000,184077,-14,1030680.0000,22,4,18,多平,S,4685.0000,4686.0000,6,21
DC,a2403,2024-01-26 21:00:37.780,4685.0000,184076,-1,468500.0000,10,4,6,空平,B,4684.0000,4686.0000,28,23
DC,a2403,2024-01-26 21:00:38.447,4684.0000,184076,0,140530.0000,3,1,2,多换,S,4684.0000,4685.0000,26,3
DC,a2403,2024-01-26 21:00:38.969,4684.0000,184083,7,1311520.0000,28,17,11,多开,B,4683.0000,4684.0000,18,21
DC,a2403,2024-01-26 21:00:39.476,4684.0000,184088,5,1077310.0000,23,14,9,多开,B,4683.0000,4684.0000,25,4
DC,a2403,2024-01-26 21:00:39.957,4684.0000,184090,2,140520.0000,3,2,1,空开,S,4684.0000,4685.0000,36,12
DC,a2403,2024-01-26 21:00:40.331,4685.0000,184089,-1,234240.0000,5,2,3,空平,B,4684.0000,4685.0000,22,8
DC,a2403,2024-01-26 21:00:40.739,4684.0000,184085,-4,327880.0000,7,1,6,多平,S,4684.0000,4685.0000,22,9
DC,a2403,2024-01-26 21:00:41.486,4684.0000,184085,0,421570.0000,9,4,5,多换,S,4684.0000,4685.0000,22,9
DC,a2403,2024-01-26 21:00:41.851,4685.0000,184095,10,2249080.0000,48,29,19,空开,S,4685.0000,4686.0000,14,6
DC,a2403,2024-01-26 21:00:42.397,4685.0000,184101,6,890160.0000,19,12,7,多开,B,4684.0000,4685.0000,30,2
DC,a2403,2024-01-26 21:00:42.865,4685.0000,184114,13,1030830.0000,22,17,5,空开,S,4685.0000,4686.0000,11,16
DC,a2403,2024-01-26 21:00:43.483,4685.0000,184106,-8,1358650.0000,29,10,19,多平,S,4685.0000,4686.0000,1,12
DC,a2403,2024-01-26 21:00:43.924,4686.0000,184106,0,46860.0000,1,0,1,空换,B,4685.0000,4686.0000,17,17
DC,a2403,2024-01-26 21:00:44.425,4685.0000,184081,-25,2577220.0000,55,15,40,多平,S,4685.0000,4687.0000,17,8
DC,a2403,2024-01-26 21:00:44.969,4686.0000,184081,0,468670.0000,10,5,5,多换,S,4686.0000,4687.0000,13,7
DC,a2403,2024-01-26 21:00:45.398,4687.0000,184091,10,656190.0000,14,12,2,空开,S,4687.0000,4688.0000,6,37
DC,a2403,2024-01-26 21:00:45.910,4688.0000,184086,-5,1453280.0000,31,13,18,多平,S,4688.0000,4689.0000,2,47
DC,a2403,2024-01-26 21:00:46.331,4687.0000,184076,-10,3843250.0000,82,36,46,多平,S,4687.0000,4688.0000,11,5
DC,a2403,2024-01-26 21:00:46.939,4687.0000,184075,-1,421830.0000,9,4,5,空平,B,4686.0000,4687.0000,13,2
DC,a2403,2024-01-26 21:00:47.391,4688.0000,184076,1,93750.0000,2,1,1,多开,B,4687.0000,4688.0000,8,19
DC,a2403,2024-01-26 21:00:47.930,4688.0000,184077,1,234370.0000,5,3,2,多开,B,4687.0000,4688.0000,8,16
DC,a2403,2024-01-26 21:00:48.441,4688.0000,184069,-8,468790.0000,10,1,9,空平,B,4687.0000,4688.0000,18,13
DC,a2403,2024-01-26 21:00:48.980,4688.0000,184060,-9,843840.0000,18,4,14,空平,B,4687.0000,4689.0000,18,56
DC,a2403,2024-01-26 21:00:49.458,4688.0000,184058,-2,421880.0000,9,3,6,空平,B,4687.0000,4688.0000,15,12
DC,a2403,2024-01-26 21:00:49.958,4688.0000,184064,6,1031220.0000,22,14,8,多开,B,4686.0000,4688.0000,29,14
DC,a2403,2024-01-26 21:00:50.280,4686.0000,184066,2,187450.0000,4,3,1,空开,S,4686.0000,4687.0000,26,3
DC,a2403,2024-01-26 21:00:50.877,4686.0000,184068,2,1405800.0000,30,16,14,多开,B,4685.0000,4686.0000,22,6
DC,a2403,2024-01-26 21:00:51.308,4686.0000,184057,-11,983920.0000,21,5,16,空平,B,4684.0000,4686.0000,21,17
DC,a2403,2024-01-26 21:00:51.946,4685.0000,184064,7,1264810.0000,27,17,10,多开,B,4684.0000,4685.0000,1,26
DC,a2403,2024-01-26 21:00:52.393,4684.0000,184066,2,234200.0000,5,3,2,多开,B,4683.0000,4684.0000,7,14
DC,a2403,2024-01-26 21:00:52.871,4684.0000,184067,1,46840.0000,1,1,0,双开,B,4683.0000,4684.0000,6,14
DC,a2403,2024-01-26 21:00:53.383,4683.0000,184063,-4,374660.0000,8,2,6,多平,S,4683.0000,4684.0000,1,20
DC,a2403,2024-01-26 21:00:53.948,4682.0000,184066,3,280960.0000,6,4,2,空开,S,4682.0000,4683.0000,16,15
DC,a2403,2024-01-26 21:00:54.467,4685.0000,184016,-50,3841080.0000,82,16,66,多平,S,4685.0000,4686.0000,18,119
DC,a2403,2024-01-26 21:00:54.970,4685.0000,184021,5,1827150.0000,39,22,17,空开,S,4685.0000,4686.0000,1,117
DC,a2403,2024-01-26 21:00:55.472,4686.0000,184023,2,468500.0000,10,6,4,多开,B,4684.0000,4686.0000,20,115
DC,a2403,2024-01-26 21:00:55.983,4684.0000,184024,1,140530.0000,3,2,1,空开,S,4684.0000,4686.0000,19,117
